VDS,ID,Latitude,Longitude,Average_Flow
759888,95,34.374508,-118.563047,364 
760369,96,33.91352,-118.122596,344 
760384,97,33.913209,-118.136477,304 
760452,98,33.925436,-118.325192,290 
761177,99,34.135237,-117.975628,348 
761776,100,33.93079,-118.178918,383 
761851,101,33.8953,-118.187843,483 
762347,102,33.876414,-118.014459,380 
763377,103,33.935598,-118.280279,388 
763468,104,34.014914,-118.172242,293 
763539,105,33.960273,-117.855729,380 
763568,106,34.04611,-117.800531,257 
763621,107,33.890677,-118.285802,672 
763970,108,33.960374,-117.856055,87 
763975,109,33.992305,-118.141915,360 
764037,110,34.026164,-118.275402,437 
764064,111,34.282447,-118.756252,223 
764151,112,34.239278,-118.4168,380 
764156,113,34.239405,-118.416632,87 
764262,114,34.362535,-118.504833,242 
764290,115,34.377963,-118.493391,232 
764572,116,33.963142,-118.369897,491 
764632,117,34.143077,-118.739279,285 
764839,118,34.1778,-118.879126,278 
764915,119,34.191042,-118.941959,225 
764932,120,34.213624,-119.007232,205 
765591,121,33.873665,-118.259554,353 
765920,122,34.276428,-118.616547,239 
765960,123,34.27423,-118.546666,358 
765978,124,34.275246,-118.598163,200 
766124,125,34.266023,-118.457798,254 
766153,126,34.271535,-118.429947,247 
766493,127,33.845636,-118.269942,379 
766600,128,34.024058,-117.755124,261 
766642,129,34.02362,-117.75203,230 
766694,130,34.425605,-118.422402,124 
766703,131,34.424397,-118.425567,137 
766749,132,34.488826,-118.286572,105 
766788,133,34.024472,-117.809793,312 
766988,134,33.874645,-118.28514,87 
767495,135,34.103362,-118.249975,90 
767573,136,34.128058,-118.228703,271 
767597,137,34.174822,-118.221416,209 
767986,138,34.120489,-117.728247,267 
768066,139,34.151183,-118.375172,460 
768202,140,34.147961,-118.225767,121 
768253,141,34.138072,-118.726233,309 
768328,142,34.07311,-117.753926,315 
768469,143,34.135151,-118.358579,449 
768643,144,33.998742,-118.407685,450 
768664,145,34.254804,-118.432792,63 
768968,146,34.030752,-118.433309,267 
768984,147,33.924434,-118.177677,372 
769090,148,34.393517,-118.571234,87 
769444,149,34.155559,-118.438288,442 
769895,150,34.230849,-118.265101,247 
769941,151,34.207101,-118.204943,215 
770089,152,34.2608,-118.331009,205 
770353,153,34.293217,-118.412767,150 
770598,154,34.318013,-118.486171,134 
771340,155,34.228473,-118.846374,87 
771386,156,34.252263,-118.839889,87 
771396,157,34.259271,-118.842944,87 
771488,158,34.239756,-118.840813,87 
771521,159,34.222667,-118.849481,87 
771673,160,34.078403,-118.228171,415 
771808,161,34.249268,-118.472234,540 
771897,162,33.82515,-118.222222,457 
771997,163,34.276797,-118.470607,227 
772025,164,34.28742,-118.467814,220 
772119,165,34.288377,-118.801243,150 
772125,166,34.291143,-118.816801,140 
772133,167,34.292952,-118.834105,146 
772140,168,34.164781,-118.474288,562 
772208,169,34.159019,-118.638271,314 
772596,170,34.171254,-118.510916,492 
772917,171,34.120865,-117.881465,395 
772980,172,33.788736,-118.207663,211 
773193,173,34.143558,-118.022467,321 
773232,174,34.03377,-118.109603,289 
773245,175,34.037734,-118.085774,339 
773294,176,34.03582,-118.095997,380 
773304,177,34.035592,-118.101149,290 
773305,178,34.035797,-118.101226,343 
773330,179,34.038564,-118.045604,394 
773439,180,33.999031,-117.853126,294 
773535,181,33.994885,-117.878772,376 
773784,182,34.09799,-117.985785,356 
773796,183,34.120181,-117.970962,248 
773798,184,34.125606,-117.965149,87 
773916,185,34.152202,-118.282684,226 
774302,186,33.981692,-118.431248,171 
774441,187,34.068121,-118.034859,381 
774704,188,33.922709,-118.281293,292 
774826,189,33.953364,-117.863075,380 
774855,190,33.976527,-117.842817,390 
774902,191,34.068185,-117.807434,172 
774926,192,34.016653,-117.81781,583 
774946,193,34.007487,-117.826362,510 
775314,194,34.22247,-119.141616,219 
775462,195,34.23758,-118.414654,380 
776081,196,34.169082,-118.498485,491 
776203,197,34.006745,-118.172418,414 
776266,198,33.964927,-118.168788,357 
776313,199,34.153134,-118.653016,341 
776487,200,34.079858,-117.997784,321 
